InstitutionName,InstitutionNickname,InstitutionAbbreviation,InstitutionCity,InstitutionState,InstitutionPostalCode,InstitutionDMACode,InstitutionDMADescription,InstitutionLatitude,InstitutionLongitude,InstitutionConference,InstitutionEnrollment_Male,InstitutionEnrollment_Female,InstitutionEnrollment_Total,InstitutionNCAAMemberSinceDate,RegularSeasonWins,RegularSeasonLosses,RegularSeasonAverageAttendance,RegularSeasonAverageScore,Rk,Seed_Rank,NetRtg,Luck,win_%
San Diego St.,Aztecs,SDSU,San Diego,CA,92182,825,SAN DIEGO,32.77525,-117.0712,Mountain West Conference,11992,16456,28448,09/01/1947,24,10,9832.94,74.59,22,5,19.36,0.008,0.7058823529411765
McNeese,Cowboys,MCNEES,Lake Charles,LA,70609,643,LAKE CHARLES,30.17819,-93.21722,Southland Conference,2245,3462,5707,09/01/1965,30,3,3085.58,80.42,67,12,11.8,0.032,0.9090909090909091
South Carolina,Gamecocks,SO CAR,Columbia,SC,29208,546,"COLUMBIA, SC",33.99679,-81.02693,Southeastern Conference,11273,14774,26047,09/01/1936,26,7,11865.45,72.03,54,6,14.4,0.144,0.7878787878787878
Dayton,Flyers,DAY,Dayton,OH,45469-1230,542,DAYTON,39.73955,-84.17611,Atlantic 10 Conference,4245,3872,8117,09/01/1951,24,8,9187.23,74.74,32,7,17.3,0.007,0.75
James Madison,Dukes,JMU,Harrisonburg,VA,22807,569,HARRISONBURG,38.43631,-78.87048,Sun Belt Conference,8342,12004,20346,09/01/1969,31,3,4471.35,84.35,63,12,12.42,0.093,0.9117647058823529
Saint Peter's,Peacocks,STPETE,Jersey City,NJ,07306,501,NEW YORK,40.7271,-74.07154,Metro Atlantic Athletic Conference,697,1095,1792,09/01/1951,19,13,1722.09,65.34,201,15,-3.03,0.041,0.59375
Illinois,Fighting Illini,ILL,Champaign,IL,61820,648,CHAMPAIGN & SPRNGFLD - DECATUR,40.10472,-88.22911,Big Ten Conference,17641,15632,33273,09/01/1914,26,8,14438.76,84.41,10,3,24.53,-0.004,0.7647058823529411
Nebraska,Cornhuskers,NEB,Lincoln,NE,68588,722,LINCOLN & HSTNGS - KRNY,40.8176,-96.70051,Big Ten Conference,9016,9159,18175,09/01/1906,23,10,13178.58,77.58,30,8,17.55,0.01,0.696969696969697
Texas Tech,Red Raiders,TTU,Lubbock,TX,79409,651,LUBBOCK,33.58345,-101.8748,Big 12 Conference,14692,14362,29054,09/01/1937,23,10,10812.85,75.58,31,6,17.32,0.034,0.696969696969697
Kentucky,Wildcats,UK,Lexington,KY,40506,541,LEXINGTON,38.03891,-84.50475,Southeastern Conference,9596,13127,22723,09/01/1936,23,9,17427.94,89.44,23,3,19.29,-0.04,0.71875
Colorado,Buffaloes,COLO,Boulder,CO,80309,751,DENVER,40.00878,-105.2708,Pac-12 Conference,15330,13356,28686,09/01/1906,24,10,7483.09,79.29,24,10,19.03,0.014,0.7058823529411765
Virginia,Cavaliers,UVA,Charlottesville,VA,22903,584,CHARLOTTESVILLE,38.03566,-78.50343,Atlantic Coast Conference,7389,9404,16793,09/01/1907,23,10,11890.73,63.58,68,10,11.8,0.108,0.696969696969697
Baylor,Bears,BAY,Waco,TX,76706,625,WACO - TEMPLE - BRYAN,31.54687,-97.12104,Big 12 Conference,6008,8877,14885,09/01/1922,23,10,9517.79,80.55,15,3,21.9,-0.016,0.696969696969697
Marquette,Golden Eagles,MARQ,Milwaukee,WI,53233,617,MILWAUKEE,43.03903,-87.92796,Big East Conference,3328,4200,7528,09/01/1928,25,9,14084.65,78.29,13,2,23.02,0.035,0.7352941176470589
Houston,Cougars,HOU,Houston,TX,77204,618,HOUSTON,29.72039,-95.34354,Big 12 Conference,18290,19653,37943,09/01/1949,30,4,9347.35,73.03,2,1,31.17,0.042,0.8823529411764706
Vermont,Catamounts,VRMNT,Burlington,VT,05405,523,BURLINGTON - PLATTSBURGH,44.47733,-73.19665,America East Conference,3986,7075,11061,09/01/1948,28,6,2208.5,72.32,104,13,6.61,0.078,0.8235294117647058
UAB,Blazers,UAB,Birmingham,AL,35294,630,BIRMINGHAM (ANN & TUSC),33.5057,-86.79935,American Athletic Conference,3823,6401,10224,09/01/1979,23,11,4015.94,77.82,106,12,6.49,0.102,0.6764705882352942
Florida,Gators,FLA,Gainesville,FL,32611,592,GAINESVILLE,29.64629,-82.34791,Southeastern Conference,16798,21213,38011,09/01/1922,24,11,10136.31,85.14,26,7,18.19,-0.021,0.6857142857142857
Grambling St.,Tigers,GRAMB,Grambling,LA,71245,628,MONROE - EL DORADO,32.5238,-92.71324,Southwestern Athletic Conf.,1359,2329,3688,09/01/1951,20,14,3028.62,67.59,259,16,-7.09,0.139,0.5882352941176471
TCU,Horned Frogs,TCU,Fort Worth,TX,76129-0001,623,DALLAS - FT. WORTH,32.70961,-97.36476,Big 12 Conference,4456,7201,11657,09/01/1936,21,12,8300.24,79.24,43,9,16.04,-0.049,0.6363636363636364
Wisconsin,Badgers,WIS,Madison,WI,53706,669,MADISON,43.07541,-89.4041,Big Ten Conference,16507,18677,35184,09/01/1910,22,13,13633.4,75.06,17,5,20.06,-0.036,0.6285714285714286
Iowa St.,Cyclones,IA ST,Ames,IA,50011,679,DES MOINES - AMES,42.02621,-93.64851,Big 12 Conference,14070,11171,25241,09/01/1908,27,7,12059.44,75.56,8,2,26.47,0.002,0.7941176470588235
NC State,Wolfpack,NC ST,Raleigh,NC,27695,560,RALEIGH - DURHAM (FAYETVLLE),35.78511,-78.67451,Atlantic Coast Conference,11649,11794,23443,09/01/1941,22,14,12147.11,76.36,45,11,15.9,0.014,0.6111111111111112
Purdue,Boilermakers,PUR,West Lafayette,IN,47907-2040,582,"LAFAYETTE, IN",40.42821,-86.91444,Big Ten Conference,21670,16279,37949,09/01/1914,29,4,13329.06,83.39,3,1,30.62,0.048,0.8787878787878788
UConn,Huskies,UCONN,Storrs,CT,06269,533,HARTFORD & NEW HAVEN,41.8091,-72.24995,Big East Conference,10645,11834,22479,09/01/1910,31,3,14017.88,81.47,1,1,36.43,0.037,0.9117647058823529
Akron,Zips,AKRON,Akron,OH,44325,510,CLEVELAND - AKRON (CANTON),41.07855,-81.51168,Mid-American Conference,4498,4019,8517,09/01/1951,24,10,3672.09,74.03,122,14,4.58,0.008,0.7058823529411765
South Dakota St.,Jackrabbits,SDAKST,Brookings,SD,57007,725,SIOUX FALLS (MITCHELL),44.31749,-96.78214,The Summit League,3485,3973,7458,09/01/1951,22,12,3518.0,76.76,138,15,2.69,-0.013,0.6470588235294118
Clemson,Tigers,CLEM,Clemson,SC,29634,567,GREENVLL - SPART - ASHEVLL - AND,34.67938,-82.83511,Atlantic Coast Conference,10236,11505,21741,09/01/1912,21,11,8904.13,77.41,19,6,19.44,-0.018,0.65625
Alabama,Crimson Tide,BAMA,Tuscaloosa,AL,35487,630,BIRMINGHAM (ANN & TUSC),33.21188,-87.54597,Southeastern Conference,14152,18306,32458,09/01/1936,21,11,10947.59,90.75,14,4,22.96,-0.001,0.65625
Mississippi St.,Bulldogs,MS ST,Mississippi State,MS,39762,673,COLUMBUS - TUPELO - WEST POINT,33.45485,-88.79014,Southeastern Conference,8164,8457,16621,09/01/1936,21,13,8985.53,74.76,34,8,17.07,-0.037,0.6176470588235294
Kansas,Jayhawks,KANSAS,Lawrence,KS,66045,616,KANSAS CITY,38.95855,-95.24757,Big 12 Conference,8859,9845,18704,09/01/1908,22,10,13952.66,75.25,27,4,17.94,0.058,0.6875
