"InstitutionID","InstitutionName","InstitutionNickname","InstitutionAbbreviation","InstitutionCity","InstitutionState","InstitutionPostalCode","InstitutionDMACode","InstitutionDMADescription","InstitutionLatitude","InstitutionLongitude","InstitutionConference","InstitutionEnrollment_Male","InstitutionEnrollment_Female","InstitutionEnrollment_Total","InstitutionNCAAMemberSinceDate","RegularSeasonWins","RegularSeasonLosses","RegularSeasonAverageAttendance","RegularSeasonAverageScore"
"626","San Diego St.","Aztecs","SDSU","San Diego","CA","92182","825","SAN DIEGO","32.775250","-117.071200","Mountain West Conference","11992","16456","28448","09/01/1947","24","10","9832.94","74.59"
"402","McNeese","Cowboys","MCNEES","Lake Charles","LA","70609","643","LAKE CHARLES","30.178190","-93.217220","Southland Conference","2245","3462","5707","09/01/1965","30","3","3085.58","80.42"
"648","South Carolina","Gamecocks","SO CAR","Columbia","SC","29208","546","COLUMBIA, SC","33.996790","-81.026930","Southeastern Conference","11273","14774","26047","09/01/1936","26","7","11865.45","72.03"
"175","Dayton","Flyers","DAY","Dayton","OH","45469-1230","542","DAYTON","39.739550","-84.176110","Atlantic 10 Conference","4245","3872","8117","09/01/1951","24","8","9187.23","74.74"
"317","James Madison","Dukes","JMU","Harrisonburg","VA","22807","569","HARRISONBURG","38.436310","-78.870480","Sun Belt Conference","8342","12004","20346","09/01/1969","31","3","4471.35","84.35"
"617","Saint Peter's","Peacocks","STPETE","Jersey City","NJ","07306","501","NEW YORK","40.727100","-74.071540","Metro Atlantic Athletic Conference","697","1095","1792","09/01/1951","19","13","1722.09","65.34"
"301","Illinois","Fighting Illini","ILL","Champaign","IL","61820","648","CHAMPAIGN & SPRNGFLD - DECATUR","40.104720","-88.229110","Big Ten Conference","17641","15632","33273","09/01/1914","26","8","14438.76","84.41"
"463","Nebraska","Cornhuskers","NEB","Lincoln","NE","68588","722","LINCOLN & HSTNGS - KRNY","40.817600","-96.700510","Big Ten Conference","9016","9159","18175","09/01/1906","23","10","13178.58","77.58"
"700","Texas Tech","Red Raiders","TTU","Lubbock","TX","79409","651","LUBBOCK","33.583450","-101.874800","Big 12 Conference","14692","14362","29054","09/01/1937","23","10","10812.85","75.58"
"334","Kentucky","Wildcats","UK","Lexington","KY","40506","541","LEXINGTON","38.038910","-84.504750","Southeastern Conference","9596","13127","22723","09/01/1936","23","9","17427.94","89.44"
"157","Colorado","Buffaloes","COLO","Boulder","CO","80309","751","DENVER","40.008780","-105.270800","Pac-12 Conference","15330","13356","28686","09/01/1906","24","10","7483.09","79.29"
"746","Virginia","Cavaliers","UVA","Charlottesville","VA","22903","584","CHARLOTTESVILLE","38.035660","-78.503430","Atlantic Coast Conference","7389","9404","16793","09/01/1907","23","10","11890.73","63.58"
"51","Baylor","Bears","BAY","Waco","TX","76706","625","WACO - TEMPLE - BRYAN","31.546870","-97.121040","Big 12 Conference","6008","8877","14885","09/01/1922","23","10","9517.79","80.55"
"387","Marquette","Golden Eagles","MARQ","Milwaukee","WI","53233","617","MILWAUKEE","43.039030","-87.927960","Big East Conference","3328","4200","7528","09/01/1928","25","9","14084.65","78.29"
"288","Houston","Cougars","HOU","Houston","TX","77204","618","HOUSTON","29.720390","-95.343540","Big 12 Conference","18290","19653","37943","09/01/1949","30","4","9347.35","73.03"
"738","Vermont","Catamounts","VRMNT","Burlington","VT","05405","523","BURLINGTON - PLATTSBURGH","44.477330","-73.196650","America East Conference","3986","7075","11061","09/01/1948","28","6","2208.50","72.32"
"9","UAB","Blazers","UAB","Birmingham","AL","35294","630","BIRMINGHAM (ANN & TUSC)","33.505700","-86.799350","American Athletic Conference","3823","6401","10224","09/01/1979","23","11","4015.94","77.82"
"235","Florida","Gators","FLA","Gainesville","FL","32611","592","GAINESVILLE","29.646290","-82.347910","Southeastern Conference","16798","21213","38011","09/01/1922","24","11","10136.31","85.14"
"261","Grambling St.","Tigers","GRAMB","Grambling","LA","71245","628","MONROE - EL DORADO","32.523800","-92.713240","Southwestern Athletic Conf.","1359","2329","3688","09/01/1951","20","14","3028.62","67.59"
"698","TCU","Horned Frogs","TCU","Fort Worth","TX","76129-0001","623","DALLAS - FT. WORTH","32.709610","-97.364760","Big 12 Conference","4456","7201","11657","09/01/1936","21","12","8300.24","79.24"
"796","Wisconsin","Badgers","WIS","Madison","WI","53706","669","MADISON","43.075410","-89.404100","Big Ten Conference","16507","18677","35184","09/01/1910","22","13","13633.40","75.06"
"311","Iowa St.","Cyclones","IA ST","Ames","IA","50011","679","DES MOINES - AMES","42.026210","-93.648510","Big 12 Conference","14070","11171","25241","09/01/1908","27","7","12059.44","75.56"
"490","NC State","Wolfpack","NC ST","Raleigh","NC","27695","560","RALEIGH - DURHAM (FAYETVLLE)","35.785110","-78.674510","Atlantic Coast Conference","11649","11794","23443","09/01/1941","22","14","12147.11","76.36"
"559","Purdue","Boilermakers","PUR","West Lafayette","IN","47907-2040","582","LAFAYETTE, IN","40.428210","-86.914440","Big Ten Conference","21670","16279","37949","09/01/1914","29","4","13329.06","83.39"
"164","UConn","Huskies","UCONN","Storrs","CT","06269","533","HARTFORD & NEW HAVEN","41.809100","-72.249950","Big East Conference","10645","11834","22479","09/01/1910","31","3","14017.88","81.47"
"5","Akron","Zips","AKRON","Akron","OH","44325","510","CLEVELAND - AKRON (CANTON)","41.078550","-81.511680","Mid-American Conference","4498","4019","8517","09/01/1951","24","10","3672.09","74.03"
"649","South Dakota St.","Jackrabbits","SDAKST","Brookings","SD","57007","725","SIOUX FALLS (MITCHELL)","44.317490","-96.782140","The Summit League","3485","3973","7458","09/01/1951","22","12","3518.00","76.76"
"147","Clemson","Tigers","CLEM","Clemson","SC","29634","567","GREENVLL - SPART - ASHEVLL - AND","34.679380","-82.835110","Atlantic Coast Conference","10236","11505","21741","09/01/1912","21","11","8904.13","77.41"
"8","Alabama","Crimson Tide","BAMA","Tuscaloosa","AL","35487","630","BIRMINGHAM (ANN & TUSC)","33.211880","-87.545970","Southeastern Conference","14152","18306","32458","09/01/1936","21","11","10947.59","90.75"
"430","Mississippi St.","Bulldogs","MS ST","Mississippi State","MS","39762","673","COLUMBUS - TUPELO - WEST POINT","33.454850","-88.790140","Southeastern Conference","8164","8457","16621","09/01/1936","21","13","8985.53","74.76"
"328","Kansas","Jayhawks","KANSAS","Lawrence","KS","66045","616","KANSAS CITY","38.958550","-95.247570","Big 12 Conference","8859","9845","18704","09/01/1908","22","10","13952.66","75.25"
"77","BYU","Cougars","BYU","Provo","UT","84602","770","SALT LAKE CITY","40.250850","-111.649300","Big 12 Conference","13555","14698","28253","09/01/1939","23","10","13481.27","81.85"
"473","New Mexico","Lobos","UNM","Albuquerque","NM","87106","790","ALBUQUERQUE - SANTA FE","35.083870","-106.620200","Mountain West Conference","5034","6877","11911","09/01/1939","26","9","9328.37","81.71"
"1014","Charleston","Cougars","COFC","Charleston","SC","29424","519","CHARLESTON, SC","32.784230","-79.939800","Coastal Athletic Association","2941","6207","9148","09/01/1991","27","7","3370.71","80.47"
"156","Colorado St.","Rams","CSU","Fort Collins","CO","80523","751","DENVER","40.574810","-105.080700","Mountain West Conference","10952","12842","23794","09/01/1929","24","10","7319.12","76.35"
"1104","Grand Canyon","Lopes","GCU","Phoenix","AZ","85017","753","PHOENIX (PRESCOTT)","33.513230","-112.129900","Western Athletic Conference","9794","14823","24617","09/01/1990","29","4","4880.73","79.79"
"153","Colgate","Raiders","GATE","Hamilton","NY","13346-1304","555","SYRACUSE","42.819470","-75.536350","Patriot League","1383","1729","3112","09/01/1906","25","9","2482.44","71.50"
